analysis_id,268iw029540s290
gene_accession_id,MGI:106659
parameter_name,ST
mouse_strain,C57BL
pvalue,0.2958819
parameter_id,IMPC_ECG_008_001
mouse_life_stage,Early adult
gene_symbol,Sprr1b
