gene_symbol,Casq1
parameter_id,IMPC_DXA_009_001
parameter_name,Fat/Body weight
analysis_id,40a4s0f7g530uo6
mouse_life_stage,Early adult
pvalue,0.2649054
mouse_strain,C57BL
gene_accession_id,MGI:1309468
