gene_symbol,Tubb4b
gene_accession_id,MGI:1915472
pvalue,0.3801236
mouse_life_stage,Early adult
analysis_id,187885vh39wybm4
parameter_id,IMPC_CBC_006_001
mouse_strain,C57BL
parameter_name,Total protein
