analysis_id,6qmfkre4m35jf7a
mouse_life_stage,Early adult
pvalue,0.4145793
parameter_id,IMPC_EYE_016_001
gene_symbol,Mms22l
parameter_name,Lens
mouse_strain,C57BL
gene_accession_id,MGI:2684980
