analysis_id,9sr4wp7c80zjp7j
gene_symbol,FGB
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.07714485
gene_accession_id,MGI:99501
parameter_id,IMPC_GPP_004_001
parameter_name,Placenta Size
