analysis_id,29247wp38nrt376
pvalue,0.2347954
parameter_id,JAXLA_HBD_001_001
mouse_strain,C57BL
gene_accession_id,MGI:2448481
gene_symbol,Mgst2
mouse_life_stage,Early adult
parameter_name,Total holepokes
