analysis_id,tic4413l538f881
parameter_id,IMPC_EYE_016_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2899985
parameter_name,Lens
gene_symbol,Rufy4
gene_accession_id,MGI:3588214
