mouse_life_stage,E15.5
mouse_strain,C57BL
pvalue,0.9018352
parameter_id,MGP_IMM_078_001
gene_symbol,Mecom
gene_accession_id,MGI:95457
parameter_name,Resting Treg cells - % of CD45+
analysis_id,45mx2irh7wl89ff
