gene_symbol,Sass6
analysis_id,58n15vfy49u1eyc
mouse_strain,C57BL
gene_accession_id,MGI:1920026
pvalue,0.7056127
mouse_life_stage,E12.5
parameter_id,IMPC_ECH_005_001
parameter_name,Fractional Shortening
