parameter_name,Pale yolk sac
pvalue,0.1983196
gene_accession_id,MGI:1921442
mouse_strain,C57BL
parameter_id,IMPC_GEL_017_002
analysis_id,91il066az7t60i0
mouse_life_stage,Early adult
gene_symbol,Arpc5l
