parameter_name,Time mobile light side
parameter_id,JAX_LDT_003_001
gene_accession_id,MGI:107414
gene_symbol,Tnfsf10
pvalue,0.2351279
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,7j0716d1h6y6au0
