mouse_life_stage,Late adult
parameter_name,Eyelid morphology
gene_symbol,AU040320
pvalue,0.5234755
gene_accession_id,MGI:2140475
analysis_id,7u41d66yq04o780
mouse_strain,C57BL
parameter_id,IMPC_EYE_004_001
