parameter_name,HR
parameter_id,JAXLA_ECG_002_001
mouse_strain,B6J
analysis_id,v351538egu13uju
mouse_life_stage,Early adult
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
pvalue,0.6822563
