gene_symbol,Rab22a
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_021_001
gene_accession_id,MGI:105072
pvalue,0.4372273
analysis_id,7d943oz4m34stho
parameter_name,Number of rears - total
mouse_strain,C57BL
