gene_symbol,Trim46
pvalue,0.1635903
mouse_strain,C57BL
gene_accession_id,MGI:2673000
parameter_name,Head morphology
parameter_id,MGP_CSD_064_001
mouse_life_stage,Early adult
analysis_id,zj49322cea98f3a
