parameter_id,MGP_IMM_121_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3470928
parameter_name,Macrophages - % of CD45+
gene_symbol,Ncaph
analysis_id,b4uqqfv9im3sp76
gene_accession_id,MGI:2444777
