analysis_id,88nczde635h0uir
gene_symbol,Ssr2
gene_accession_id,MGI:1913506
pvalue,0.8988544
mouse_strain,C57BL
parameter_name,Heart weight
mouse_life_stage,Early adult
parameter_id,IMPC_HWT_008_001
