analysis_id,3702g7g3l6988kd
pvalue,0.1932772
parameter_id,IMPC_EYE_004_001
mouse_strain,C57BL
parameter_name,Eyelid morphology
gene_accession_id,MGI:1915087
mouse_life_stage,Early adult
gene_symbol,Tiprl
