analysis_id,244752mv1f9g7af
parameter_name,Distance travelled - total
gene_accession_id,MGI:1924315
parameter_id,JAX_OFD_020_001
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.2820538
gene_symbol,Ints7
