parameter_name,Average duration
mouse_life_stage,Early adult
parameter_id,JAX_ROT_002_001
gene_symbol,Kcng1
analysis_id,234547g19t367fa
mouse_strain,C57BL
pvalue,0.4593546
gene_accession_id,MGI:3616086
