parameter_name,Creatinine
gene_accession_id,MGI:1924054
parameter_id,JAX_URI_002_001
pvalue,0.7348279
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Kdm4c
analysis_id,2f631e6jegz6681
