mouse_life_stage,Late adult
pvalue,0.3924872
gene_accession_id,MGI:2140475
mouse_strain,C57BL
analysis_id,qip3k8ggb3y7r84
parameter_name,End-Systolic Diameter
gene_symbol,AU040320
parameter_id,IMPC_ECH_001_001
