analysis_id,3n4695li2f26dbv
parameter_id,IMPC_EYE_059_001
gene_accession_id,MGI:95457
mouse_strain,C3H
parameter_name,Mean right eye lens density
gene_symbol,Mecom
mouse_life_stage,Early adult
pvalue,0.2080227
