gene_symbol,Gpbp1l1
gene_accession_id,MGI:1924360
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_046_001
mouse_strain,C57BL
parameter_name,DN CD44+CD62L- NKT cells
pvalue,0.6453768
analysis_id,590939o0g4gd34u
