analysis_id,1m08d3441lp8yp9
gene_symbol,Mapkap1
mouse_life_stage,E15.5
pvalue,0.512429
mouse_strain,C57BL
parameter_name,lens
parameter_id,M-G-P_014_001_009
gene_accession_id,MGI:2444554
