gene_symbol,Morn5
parameter_name,DN CD44+CD62L- NKT cells
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1236247
parameter_id,IMPC_IMM_046_001
analysis_id,ix4c8q33o4bj820
gene_accession_id,MGI:1922745
