parameter_id,HMGULA_SHI_009_001
parameter_name,Startle response
analysis_id,f4389n78p52yq99
gene_accession_id,MGI:1914836
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.492523
gene_symbol,Ubxn11
