analysis_id,l1on70gtj58771w
mouse_strain,C57BL
parameter_id,IMPC_CSD_028_001
mouse_life_stage,Early adult
gene_symbol,Cmpk1
gene_accession_id,MGI:1913838
parameter_name,Snout size
pvalue,0.3361792
