parameter_name,End-Systolic Diameter
gene_accession_id,MGI:1344367
pvalue,6.347157e-05
mouse_life_stage,Early adult
mouse_strain,C50BL
analysis_id,36m98cs18iq6gkn
gene_symbol,Grem2
parameter_id,IMPC_ECH_001_001
