analysis_id,0z40801v6v1955d
parameter_name,PP3 + pulse startle magnitude
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_011_001_009
gene_accession_id,MGI:2385156
pvalue,0.1570391
gene_symbol,Sdcbp2
