gene_symbol,Amigo1
mouse_strain,C57BL
parameter_id,MGP_IMM_033_001
mouse_life_stage,Early adult
parameter_name,Total NK cells - % of CD45+
pvalue,0.6835114
gene_accession_id,MGI:2653612
analysis_id,hnic8ug86o3bshg
