gene_symbol,Mapkap1
mouse_life_stage,E15.5
pvalue,0.2803805
mouse_strain,C57BL
analysis_id,2g55x63l776i903
parameter_name,Mean right eye lens density
gene_accession_id,MGI:2444554
parameter_id,IMPC_EYE_059_001
