analysis_id,440f45m956oydjq
parameter_id,M-G-P_005_001_004
mouse_strain,C57BL
gene_symbol,Slc45a3
gene_accession_id,MGI:1922082
mouse_life_stage,Early adult
parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.9327771
