analysis_id,48028m0n537l73f
mouse_life_stage,E9.5
pvalue,0.2360206
mouse_strain,C57BL
gene_symbol,Ahcy
gene_accession_id,MGI:87968
parameter_id,M-G-P_006_001_026
parameter_name,Fusion of vertebrae
