analysis_id,3p21j67948tiyd4
mouse_strain,C57BL
parameter_id,IMPC_GEO_048_002
mouse_life_stage,Early adult
parameter_name,Anophthalmia
gene_accession_id,MGI:1914944
pvalue,0.6293179
gene_symbol,Ift74
