analysis_id,7410s58adgpd5w5
gene_symbol,Fgb
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:99501
pvalue,0.8605569
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_027_001
