parameter_name,Midbrain
mouse_life_stage,Early adult
gene_symbol,Zyg11b
pvalue,0.3402298
analysis_id,w730mvj783ao2p7
gene_accession_id,MGI:2685277
parameter_id,IMPC_GEL_029_001
mouse_strain,C57BL
