parameter_name,Forebrain
parameter_id,IMPC_GEL_028_001
mouse_life_stage,Early adult
pvalue,0.8222243
analysis_id,n39yqjydvr9g3x7
mouse_strain,C57BL
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
