gene_symbol,Sla2
mouse_strain,C57BL
parameter_name,Facial Morphology
gene_accession_id,MGI:1925049
pvalue,0.7257194
parameter_id,IMPC_GEP_017_001
mouse_life_stage,Early adult
analysis_id,a0u07314z8imy09
