parameter_name,Lean/Body weight
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
parameter_id,IMPC_DXA_008_001
mouse_strain,129SV
analysis_id,67d14i730v6cb20
pvalue,0.8423628
gene_symbol,Cds2
