gene_symbol,Sdcbp2
mouse_strain,C57BL
parameter_name,Retina (combined)
parameter_id,IMPC_EYE_092_001
gene_accession_id,MGI:2385156
analysis_id,7u9m9r992u6541u
pvalue,0.136803
mouse_life_stage,Early adult
