gene_symbol,Nipal3
mouse_life_stage,Early adult
parameter_id,MGP_IMM_129_001
gene_accession_id,MGI:1921802
pvalue,0.7098018
mouse_strain,129SV
parameter_name,CD11b-high cDC - % of CD45+
analysis_id,2q50kx5vd5ys5b6
