parameter_id,IMPC_ECH_005_001
pvalue,0.9976826
mouse_life_stage,Early adult
analysis_id,s7d020b2xw991n8
parameter_name,Fractional Shortening
mouse_strain,C58BL
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
