parameter_name,Midbrain
analysis_id,h8aao792xpdt0x6
mouse_life_stage,Early adult
gene_symbol,Cntfr
pvalue,0.6231626
mouse_strain,129SV
parameter_id,IMPC_GEL_029_001
gene_accession_id,MGI:99605
