parameter_id,IMPC_GPO_002_001
analysis_id,hp402jtu54as690
parameter_name,Placenta Morphology
pvalue,0.1441395
gene_accession_id,MGI:95835
gene_symbol,Hspa5
mouse_life_stage,Early adult
mouse_strain,C57BL
