parameter_name,Center distance travelled
gene_accession_id,MGI:2385156
parameter_id,JAX_OFD_014_001
gene_symbol,Sdcbp2
analysis_id,f64vk4475kd7h5f
mouse_life_stage,Early adult
pvalue,0.5271049
mouse_strain,C57BL
