analysis_id,d21n1s70z1x152a
parameter_id,IMPC_CBC_009_001
mouse_strain,C57BL
parameter_name,Calcium
gene_accession_id,MGI:96646
pvalue,0.09774352
mouse_life_stage,E15.5
gene_symbol,Jun
