analysis_id,6zh124p3jn4lwr7
gene_accession_id,MGI:109356
parameter_id,ESLIM_007_001_015
mouse_life_stage,Middle aged adult
gene_symbol,Snap23
parameter_name,Number of centre entries
mouse_strain,C57BL
pvalue,0.2353214
