analysis_id,36i0ga38127h851
pvalue,0.4902052
gene_accession_id,MGI:1914556
parameter_id,IMPC_DXA_004_001
mouse_strain,C57BL
parameter_name,Bone Mineral Density (excluding skull)
mouse_life_stage,Early adult
gene_symbol,Zc2hc1a
