analysis_id,4u8349991t04rjf
mouse_strain,C57BL
gene_symbol,Ints7
pvalue,0.6740243
mouse_life_stage,Early adult
parameter_name,Corneal opacity
parameter_id,IMPC_EYE_008_001
gene_accession_id,MGI:1924315
