analysis_id,1o34o9js6wlzymr
gene_symbol,Dnajc8
pvalue,0.6554209
parameter_id,MGP_MLN_006_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915848
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
