analysis_id,r69vkeso6629rkq
parameter_id,MGP_MLN_067_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1916043
pvalue,0.709847
gene_symbol,Rab3gap2
parameter_name,Resting CD4+ T helper cells - % of CD45+
