gene_symbol,Clvs1
analysis_id,1fe44xqt33edrxl
parameter_name,% Pre-pulse inhibition - PPI2
mouse_life_stage,Early adult
pvalue,0.7378447
mouse_strain,C57BL
parameter_id,IMPC_ACS_034_001
gene_accession_id,MGI:1921688
