analysis_id,v824094vb73a44k
pvalue,0.3031709
mouse_strain,C57BL
parameter_id,IMPC_ECH_018_001
parameter_name,Respiration Rate
mouse_life_stage,Early adult
gene_accession_id,MGI:1860103
gene_symbol,SLC2A8
