gene_symbol,Pex19
parameter_id,HMGULA_CBC_015_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Total cholesterol
pvalue,0.4061465
analysis_id,x33plk4h965975c
gene_accession_id,MGI:1334458
