gene_symbol,Ints7
mouse_strain,C57BL
parameter_id,CCP_LFO_001_001
parameter_name,Weight
pvalue,0.6609579
analysis_id,jedf6og7zgby206
mouse_life_stage,Early adult
gene_accession_id,MGI:1924315
