gene_symbol,Tnni1
mouse_strain,C57BL
parameter_name,Resting CD8+ T cells - % of CD8+
analysis_id,2pp455hyaqz7e78
pvalue,0.7641675
parameter_id,MGP_IMM_015_001
gene_accession_id,MGI:105073
mouse_life_stage,Early adult
