gene_symbol,Rab17
mouse_life_stage,Early adult
parameter_id,MGP_MLN_058_001
pvalue,0.9049883
parameter_name,Plasmacytoid DC - % of DC
mouse_strain,C57BL
analysis_id,7viptf1k4m5z123
gene_accession_id,MGI:104640
