parameter_name,Periphery resting time
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_011_001
pvalue,0.8543414
gene_accession_id,MGI:2140475
gene_symbol,AU040320
mouse_strain,C57BL
analysis_id,59gx2t160430h9f
