analysis_id,au1207d32v1756p
pvalue,0.6280226
gene_accession_id,MGI:2685277
parameter_id,IMPC_ACS_035_001
gene_symbol,Zyg11b
mouse_life_stage,E18.5
parameter_name,% Pre-pulse inhibition - PPI3
mouse_strain,C57BL
