gene_symbol,NANP
pvalue,0.7602443
analysis_id,8c83659ks4083sz
parameter_name,Lumbar processes
gene_accession_id,MGI:1914561
mouse_life_stage,E18.5
mouse_strain,C57BL
parameter_id,IMPC_XRY_065_001
