analysis_id,gc05e18p93c44vg
mouse_life_stage,Early adult
pvalue,0.4032897
parameter_id,IMPC_GEL_006_001
gene_accession_id,MGI:104640
mouse_strain,C57BL
parameter_name,Pericardium Morphology
gene_symbol,Rab17
