analysis_id,w077ip25h4nu2e4
gene_accession_id,MGI:894679
parameter_id,HMGULA_CBC_005_001
pvalue,0.2675651
mouse_life_stage,Early adult
parameter_name,Creatinine
mouse_strain,C57BL
gene_symbol,Bach2
