analysis_id,52k6t8q0p9qt50p
parameter_name,Others
gene_symbol,Nr0b2
parameter_id,IMPC_IMM_006_001
mouse_life_stage,Early adult
mouse_strain,B6J
pvalue,0.4043891
gene_accession_id,MGI:1346344
